Taxon_Name	Rank	Rank_Name	Rank_Priority	NCBI_TaxID	Confidence	Priority	Description	In_Both	In_RVDB	In_NCBI	RVDB_Reads_Direct	RVDB_Reads_Total	RVDB_Percent	NCBI_Reads_Direct	NCBI_Reads_Total	NCBI_Percent	Max_Direct_Reads	Max_Percent	Avg_Percent
Orthornavirae	K	Kingdom	2	2732396	High	1	BothDB-HighReads(≥100)	Yes	Yes	Yes	108957	1688289	66.12	5	38048	1.49	108957	66.12	33.805
Bocaparvovirus	G	Genus	7	1507401	High	1	BothDB-HighReads(≥100)	Yes	Yes	Yes	436	462	0.02	435	453	0.02	436	0.02	0.02
Rotavirus	G	Genus	7	10912	High	1	BothDB-HighReads(≥100)	Yes	Yes	Yes	204	16853	0.66	1	880	0.03	204	0.66	0.34500000000000003
Porcine picobirnavirus	S	Species	8	442302	High	1	BothDB-HighReads(≥100)	Yes	Yes	Yes	11505	11505	0.45	19	19	0.0	11505	0.45	0.225
Human astrovirus	S	Species	8	1868658	High	1	BothDB-HighReads(≥100)	Yes	Yes	Yes	223	223	0.01	962	962	0.04	962	0.04	0.025
Picobirnavirus sp.	S	Species	8	1907787	High	1	BothDB-HighReads(≥100)	Yes	Yes	Yes	394	394	0.02	4	4	0.0	394	0.02	0.01
Rotavirus A	S1	Subspecies	9	28875	High	1	BothDB-HighReads(≥100)	Yes	Yes	Yes	13475	16616	0.65	838	838	0.03	13475	0.65	0.34
aichivirus A1	S1	Subspecies	9	1313215	High	1	BothDB-HighReads(≥100)	Yes	Yes	Yes	235	235	0.01	219	219	0.01	235	0.01	0.01
Human mastadenovirus F	S1	Subspecies	9	130309	High	1	BothDB-HighReads(≥100)	Yes	Yes	Yes	99	152	0.01	228	228	0.01	228	0.01	0.01
Human betaherpesvirus 5	S1	Subspecies	9	10359	High	1	BothDB-HighReads(≥100)	Yes	Yes	Yes	217	217	0.01	6	6	0.0	217	0.01	0.005
Human picobirnavirus	S1	Subspecies	9	145856	High	1	BothDB-HighReads(≥100)	Yes	Yes	Yes	130	130	0.01	22	22	0.0	130	0.01	0.005
adeno-associated virus 2	S1	Subspecies	9	10804	High	1	BothDB-HighReads(≥100)	Yes	Yes	Yes	15	15	0.0	101	101	0.0	101	0.0	0.0
unclassified	U	Unclassified	10	0	High	1	BothDB-HighReads(≥100)	Yes	Yes	Yes	714819	714819	28.0	2504606	2504606	98.09	2504606	98.09	63.045
Viruses	R1	R1	99	10239	High	1	BothDB-HighReads(≥100)	Yes	Yes	Yes	35983	1838082	71.99	732	48690	1.91	35983	71.99	36.949999999999996
Betapolyomavirus hominis	S	Species	8	1891762	Medium-High	2	BothDB-MediumReads(50-99)	Yes	Yes	Yes	78	78	0.0	72	72	0.0	78	0.0	0.0
Betapolyomavirus macacae	S	Species	8	1891767	Medium-High	2	BothDB-MediumReads(50-99)	Yes	Yes	Yes	76	76	0.0	77	77	0.0	77	0.0	0.0
Mamastrovirus 1	S1	Subspecies	9	1239565	Medium-High	2	BothDB-MediumReads(50-99)	Yes	Yes	Yes	53	161	0.01	34	34	0.0	53	0.01	0.005
Norovirus GII	S2	S2	99	122929	Medium-High	2	BothDB-MediumReads(50-99)	Yes	Yes	Yes	92	124	0.0	15	119	0.0	92	0.0	0.0
Astrovirus VA1	S2	S2	99	645687	Medium-High	2	BothDB-MediumReads(50-99)	Yes	Yes	Yes	13	13	0.0	61	61	0.0	61	0.0	0.0
Norovirus GII.2	S3	S3	99	490039	Medium-High	2	BothDB-MediumReads(50-99)	Yes	Yes	Yes	1	15	0.0	60	60	0.0	60	0.0	0.0
Lenarviricota	P	Phylum	3	2732407	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	43461	575556	22.54	0	0	0.0	43461	22.54	22.54
Pisuviricota	P	Phylum	3	2732408	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	4339	732687	28.7	0	0	0.0	4339	28.7	28.7
Kitrinoviricota	P	Phylum	3	2732406	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	162	105078	4.12	0	0	0.0	162	4.12	4.12
Caudoviricetes	C	Class	4	2731619	Medium	3	NCBIOnly-HighReads(≥100)	No	No	Yes	0	0	0.0	339	7882	0.31	339	0.31	0.31
Picornavirales	O	Order	5	464095	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	549	20321	0.8	0	0	0.0	549	0.8	0.8
Adenoviridae	F	Family	6	10508	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	320	631	0.02	0	0	0.0	320	0.02	0.02
Picobirnaviridae	F	Family	6	585893	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	225	641560	25.13	0	0	0.0	225	25.13	25.13
Qianjiang picobirna-like virus 2	S	Species	8	3348870	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	627347	627347	24.57	0	0	0.0	627347	24.57	24.57
Chrocacirn virus	S	Species	8	3129344	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	188819	188819	7.4	0	0	0.0	188819	7.4	7.4
Reoviridae sp.	S	Species	8	2585267	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	80779	80779	3.16	0	0	0.0	80779	3.16	3.16
Ripoflyv virus	S	Species	8	3130430	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	71127	71127	2.79	0	0	0.0	71127	2.79	2.79
Ripawyrk virus	S	Species	8	3130181	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	62633	62633	2.45	0	0	0.0	62633	2.45	2.45
Ripakrys virus	S	Species	8	3130868	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	41459	41459	1.62	0	0	0.0	41459	1.62	1.62
Shrew picobirnavirus 5	S	Species	8	3139564	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	36992	36992	1.45	0	0	0.0	36992	1.45	1.45
Chronaparn virus	S	Species	8	3129907	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	35148	35148	1.38	0	0	0.0	35148	1.38	1.38
Chronamorb virus	S	Species	8	3129893	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	30652	30652	1.2	0	0	0.0	30652	1.2	1.2
Narnaviridae sp.	S	Species	8	2583949	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	17361	17361	0.68	0	0	0.0	17361	0.68	0.68
Mitoviridae sp.	S	Species	8	2809572	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	16358	16358	0.64	0	0	0.0	16358	0.64	0.64
Ripalen virus	S	Species	8	3130538	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	15754	15754	0.62	0	0	0.0	15754	0.62	0.62
Shrew picobirnavirus 2	S	Species	8	3139561	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	15353	15353	0.6	0	0	0.0	15353	0.6	0.6
Sichuan mamastrovirus 12	S	Species	8	2933219	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	14903	14903	0.58	0	0	0.0	14903	0.58	0.58
Bovine astrovirus	S	Species	8	1435485	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	12417	12417	0.49	0	0	0.0	12417	0.49	0.49
Ripajynb virus	S	Species	8	3130002	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	12258	12258	0.48	0	0	0.0	12258	0.48	0.48
Sobemovirus sp.	S	Species	8	2809869	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	12015	12015	0.47	0	0	0.0	12015	0.47	0.47
Ripapent virus	S	Species	8	3130035	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	11288	11288	0.44	0	0	0.0	11288	0.44	0.44
Bat spumavirus 1	S	Species	8	3128414	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	10840	10840	0.42	0	0	0.0	10840	0.42	0.42
Jingmen rodent bastrovirus 1	S	Species	8	3077487	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	10647	10647	0.42	0	0	0.0	10647	0.42	0.42
Bat alphanodavirus 2	S	Species	8	3400609	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	9809	9809	0.38	0	0	0.0	9809	0.38	0.38
Piper chlorosis virus	S	Species	8	2010222	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	9001	9001	0.35	0	0	0.0	9001	0.35	0.35
Chrocagynt virus	S	Species	8	3129407	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	8299	8299	0.33	0	0	0.0	8299	0.33	0.33
Ripaglys virus	S	Species	8	3130696	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	8093	8093	0.32	0	0	0.0	8093	0.32	0.32
Miniopterus inflatus ribovirus	S	Species	8	3400667	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	8018	8018	0.31	0	0	0.0	8018	0.31	0.31
Ripaslid virus	S	Species	8	3131201	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	7509	7509	0.29	0	0	0.0	7509	0.29	0.29
Sichuan mamastrovirus 10	S	Species	8	2933218	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	7305	7305	0.29	0	0	0.0	7305	0.29	0.29
Ripashof virus	S	Species	8	3131141	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	5689	5689	0.22	0	0	0.0	5689	0.22	0.22
