sequence_name,identified_by,vs2_score,vs2_group,dvf_score,dvf_pvalue,consensus
NODE_4045_length_1195_cov_1.596491,DeepVirFinder_only,,,0.02377400547266,0.2832162550041543,False
NODE_6318_length_1057_cov_1.135729,DeepVirFinder_only,,,1.1447807992226444e-05,0.7748885867512652,False
NODE_2926_length_1303_cov_1.918269,Both,0.853,ssDNA,0.0030751880258321,0.4284122667875217,True
NODE_113_length_3341_cov_4.117468,DeepVirFinder_only,,,2.6655587134882808e-05,0.7340055895460382,False
NODE_3199_length_1271_cov_3.706414,DeepVirFinder_only,,,1.8759985323413275e-05,0.7519261273510084,False
NODE_5625_length_1090_cov_2.310145,DeepVirFinder_only,,,0.0769576206803321,0.2060389757534557,False
NODE_2696_length_1332_cov_1.879405,DeepVirFinder_only,,,4.1958286601584405e-05,0.7090225847873707,False
NODE_6208_length_1062_cov_1.266137,DeepVirFinder_only,,,0.0001927408738993,0.6176259536218748,False
NODE_6471_length_1051_cov_0.958835,DeepVirFinder_only,,,7.571216542601179e-08,0.9351725961175316,False
NODE_7299_length_1017_cov_1.451143,DeepVirFinder_only,,,0.1559918075799942,0.1624556235365208,False
NODE_7555_length_1008_cov_2.344176,DeepVirFinder_only,,,0.2237410545349121,0.1393609789259007,False
NODE_4650_length_1152_cov_1.325433,DeepVirFinder_only,,,0.8012729287147522,0.0251151899690308,False
NODE_2417_length_1371_cov_2.192249,DeepVirFinder_only,,,0.0036391052417457,0.4162323438326157,False
NODE_1308_length_1626_cov_1.365372,DeepVirFinder_only,,,0.0854492858052253,0.1991842284160435,False
NODE_801_length_1873_cov_2.422442,DeepVirFinder_only,,,4.113232716917992e-05,0.7100611828687967,False
NODE_4818_length_1140_cov_1.367742,DeepVirFinder_only,,,2.5066022146802425e-08,0.9538862451846816,False
NODE_7337_length_1015_cov_3.042708,DeepVirFinder_only,,,0.0001681489229667,0.6262179922954906,False
NODE_7614_length_1006_cov_1.362776,DeepVirFinder_only,,,0.0001275187678402,0.6442140645063826,False
NODE_6726_length_1040_cov_1.374619,Both,0.987,ssDNA,0.0001790042151696,0.6220447163683057,True
NODE_329_length_2492_cov_1.351662,DeepVirFinder_only,,,0.0050985543057322,0.3914381750887529,False
NODE_6736_length_1039_cov_2.896341,DeepVirFinder_only,,,0.0551137030124664,0.2281705566885716,False
NODE_2863_length_1310_cov_2.556175,DeepVirFinder_only,,,0.1752060204744339,0.155336505778382,False
NODE_7091_length_1026_cov_1.398558,DeepVirFinder_only,,,1.5852540400373982e-06,0.8562957927335901,False
NODE_7639_length_1005_cov_1.325263,DeepVirFinder_only,,,0.9979628324508668,0.0046453659641966,False
NODE_7033_length_1028_cov_1.758479,DeepVirFinder_only,,,0.00387889216654,0.4114170254550948,False
NODE_5477_length_1098_cov_1.367210,DeepVirFinder_only,,,0.0088908867910504,0.3521980512123272,False
NODE_4407_length_1169_cov_1.429982,DeepVirFinder_only,,,1.1454769719421163e-06,0.8669650275700581,False
NODE_7460_length_1011_cov_2.528243,DeepVirFinder_only,,,0.115466795861721,0.1808293677770224,False
NODE_4863_length_1137_cov_2.086876,DeepVirFinder_only,,,0.0001455493766115,0.6352254702016769,False
