================================================================================
Viral Identification Comprehensive Analysis Report - SPAdes Assembly Results
VirSorter2 + DeepVirFinder
================================================================================

[Overall Statistics]
--------------------------------------------------------------------------------
VirSorter2 identified viral sequences:    236
DeepVirFinder identified viral sequences: 7,781
Consensus viral sequences (both tools):   236
VirSorter2 only:                          0
DeepVirFinder only:                       7,545

DeepVirFinder significant sequences (p<0.05): 458


[Consensus Viral Sequences (High Confidence)]
--------------------------------------------------------------------------------
Sequence Name                            VS2 Score    DVF Score    DVF P-value 
--------------------------------------------------------------------------------
NODE_1003_length_1759_cov_6.676643       0.807        0.728        3.08e-02    
NODE_1029_length_1742_cov_1.900415       0.800        0.264        1.29e-01    
NODE_1049_length_1732_cov_2.795468       nan          1.000        5.10e-04    
NODE_1056_length_1730_cov_3.011343       0.753        0.000        7.90e-01    
NODE_106_length_3379_cov_3.513237        0.967        1.000        1.44e-03    
NODE_1088_length_1717_cov_2.357401       nan          0.178        1.54e-01    
NODE_110_length_3362_cov_3.798911        0.787        0.001        5.08e-01    
NODE_1170_length_1678_cov_10.825015      0.987        0.004        4.06e-01    
NODE_1194_length_1669_cov_1.988228       0.680        0.004        4.08e-01    
NODE_122_length_3246_cov_3.753996        0.733        0.150        1.65e-01    
NODE_1241_length_1653_cov_2.001877       0.900        0.017        3.06e-01    
NODE_1245_length_1651_cov_5.031328       0.933        0.067        2.15e-01    
NODE_1258_length_1647_cov_1.901382       0.560        0.233        1.37e-01    
NODE_1263_length_1645_cov_2.336478       0.527        0.008        3.57e-01    
NODE_1268_length_1642_cov_3.340265       0.853        0.442        8.58e-02    
NODE_1270_length_1641_cov_2.975410       1.000        0.424        9.10e-02    
NODE_1295_length_1630_cov_1.762540       0.980        0.000        6.25e-01    
NODE_1304_length_1627_cov_5.342239       0.647        0.022        2.88e-01    
NODE_1305_length_1627_cov_2.877226       0.900        0.100        1.90e-01    
NODE_1324_length_1619_cov_3.061381       nan          0.793        2.59e-02    
NODE_1332_length_1618_cov_3.543186       1.000        0.638        3.83e-02    
NODE_133_length_3199_cov_2.799936        0.853        0.013        3.22e-01    
NODE_1357_length_1608_cov_1.590470       0.907        0.104        1.87e-01    
NODE_1361_length_1607_cov_1.571521       0.907        0.000        5.64e-01    
NODE_1367_length_1604_cov_2.699806       0.627        0.012        3.31e-01    
