sequence,found_in_MEGAHIT,found_in_SPAdes,status,MEGAHIT_vs2_score,MEGAHIT_dvf_score,MEGAHIT_identified_by,SPAdes_vs2_score,SPAdes_dvf_score,SPAdes_identified_by
k141_63541,Yes,No,Consensus,0.787,0.714137613773346,Both,N/A,N/A,N/A
k141_62864,Yes,No,Consensus,0.807,0.3632351458072662,Both,N/A,N/A,N/A
NODE_2880_length_1308_cov_4.529130,No,Yes,Consensus,N/A,N/A,N/A,0.913,0.0078008673153817,Both
k141_176052,Yes,No,Consensus,0.92,0.0460599362850189,Both,N/A,N/A,N/A
k141_110445,Yes,No,Consensus,0.54,0.0478082448244094,Both,N/A,N/A,N/A
k141_125477,Yes,No,Consensus,0.987,0.0217448789626359,Both,N/A,N/A,N/A
k141_42055,Yes,No,Consensus,0.96,0.766913890838623,Both,N/A,N/A,N/A
k141_124909,Yes,No,Consensus,0.967,4.4671657484229854e-09,Both,N/A,N/A,N/A
k141_153487,Yes,No,Consensus,0.927,0.1251703649759292,Both,N/A,N/A,N/A
k141_78563,Yes,No,Consensus,0.8,0.9843206405639648,Both,N/A,N/A,N/A
k141_80068,Yes,No,Consensus,0.993,0.0453142672777175,Both,N/A,N/A,N/A
k141_177001,Yes,No,Consensus,1.0,0.1650091856718063,Both,N/A,N/A,N/A
k141_136492,Yes,No,Consensus,0.58,0.4228792786598205,Both,N/A,N/A,N/A
k141_6456,Yes,No,Consensus,1.0,0.7573130130767822,Both,N/A,N/A,N/A
k141_65594,Yes,No,Consensus,0.993,0.0012992471456527,Both,N/A,N/A,N/A
k141_55142,Yes,No,Consensus,1.0,0.5510005950927734,Both,N/A,N/A,N/A
k141_100018,Yes,No,Consensus,0.927,0.5040968060493469,Both,N/A,N/A,N/A
k141_83387,Yes,No,Consensus,0.913,0.0302721858024597,Both,N/A,N/A,N/A
k141_51511,Yes,No,Consensus,,0.0005445453571155,Both,N/A,N/A,N/A
k141_166489,Yes,No,Consensus,,0.5467303991317749,Both,N/A,N/A,N/A
k141_25057,Yes,No,Consensus,0.987,0.2726154327392578,Both,N/A,N/A,N/A
k141_141921,Yes,No,Consensus,0.613,0.4016808867454529,Both,N/A,N/A,N/A
k141_32269,Yes,No,Consensus,0.993,0.5362242460250854,Both,N/A,N/A,N/A
k141_106797,Yes,No,Consensus,0.92,0.4081245064735412,Both,N/A,N/A,N/A
k141_153993,Yes,No,Consensus,1.0,0.2353729009628296,Both,N/A,N/A,N/A
k141_76222,Yes,No,Consensus,0.96,1.8766608263831586e-05,Both,N/A,N/A,N/A
k141_142127,Yes,No,Consensus,0.953,0.3799614012241363,Both,N/A,N/A,N/A
k141_160361,Yes,No,Consensus,0.74,0.033616192638874,Both,N/A,N/A,N/A
k141_31645,Yes,No,Consensus,1.0,0.4070939719676971,Both,N/A,N/A,N/A
k141_121691,Yes,No,Consensus,0.96,0.0029221095610409,Both,N/A,N/A,N/A
k141_68140,Yes,No,Consensus,0.98,0.0493057519197464,Both,N/A,N/A,N/A
k141_150087,Yes,No,Consensus,0.627,0.0668371170759201,Both,N/A,N/A,N/A
k141_49754,Yes,No,Consensus,0.573,0.0068480093032121,Both,N/A,N/A,N/A
k141_137371,Yes,No,Consensus,0.833,0.0108966222032904,Both,N/A,N/A,N/A
k141_151772,Yes,No,Consensus,0.547,5.819279249408282e-05,Both,N/A,N/A,N/A
k141_81438,Yes,No,Consensus,0.607,0.0004146720748394,Both,N/A,N/A,N/A
k141_117610,Yes,No,Consensus,0.66,8.010597957763821e-05,Both,N/A,N/A,N/A
k141_170606,Yes,No,Consensus,0.947,0.9878159761428832,Both,N/A,N/A,N/A
k141_91690,Yes,No,Consensus,0.987,0.4084933996200561,Both,N/A,N/A,N/A
k141_3840,Yes,No,Consensus,0.92,0.0072587677277624,Both,N/A,N/A,N/A
k141_17945,Yes,No,Consensus,0.893,0.00179581833072,Both,N/A,N/A,N/A
k141_90973,Yes,No,Consensus,0.847,2.05750922077641e-07,Both,N/A,N/A,N/A
